Explanation,,,,,,reference value to the model,higher value is better,,,,,,which transformation should be applied. All Modeloutput will be respective to the transformed values,,,,,,
,,,,"Should model be fitted with weights determined by rlmer (wgt.e * wgt.b), default: FALSE",If “equal” (or missing or without model) this hypothethis is skipped for adjustment,unused,,,,,,,,,top left,bottm left/right,below main,main,y-label [unit if needed]
H_ID,varname,subset,model_type,robustify,H_direction,model_value,higher_better,in_table,plot_type,short_explanation,long_explanation,comments,transform,plotTruncate,ggTag,ggCaption,ggSubtitle,ggTitle,ggyLabel
H21.o,oat_tha,is.oat,M3,,different,,yes,,box,,,,identity,,,,,,
H22.l,lupin_tha,is.lupin,M3,,different,,yes,,box,,,,identity,,,,,,
H2.ol,total_yield_tha,is.all,M3,,different,,yes,,box,,,,identity,,,,,,
H31,ler,is.mixed,M4.max.1,,different,,yes,,box,,,,identity,TRUE,,,,,
H311,ler,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H32,ler_N,is.mixed,M4.max.1,,different,,yes,,box,,,,identity,TRUE,,,,,
H321,ler_N,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H6,CPR_oat,is.mixed,M4.max.1,,different,,yes,,box,,,,identity,,,,,,
H61,CPR_oat,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H62,CPR_oat_N,is.mixed,M4.max.1,,different,,yes,,box,,,,identity,,,,,,
H621,CPR_oat_N,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H7,CPR_lupin,is.mixed,M4.max.1,,different,,yes,,box,,,,identity,,,,,,
H71,CPR_lupin,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H8,CPR,is.mixed,M4.max.2,,different,,yes,,box,,,,identity,,,,,,
H81,CPR,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H9,CPR_N,is.mixed,M4.max.2,,different,,yes,,box,,,,identity,,,,,,
H91,CPR_N,is.mixed,M3,,different,,yes,,,,,,identity,,,,,,
H10,lupin_proportion,is.mixed,M3,,different,,yes,,box,,,,identity,,,,,,
