"Treatment","Gross 2022","Gross 2023","Gross 2024","Novi 2022","Novi 2023","Novi 2024","Re 2022","Re 2023","Seegr 2022","Seegr 2023","Vilbel 2022","Vilbel 2023","Vilbel 2024"
"Bison","3.83 ± 0.01","2.30 ± 0.08","4.85 ± 0.12","2.95 ± 0.22","3.33 ± 0.11","4.38 ± 0.06","4.51 ± 0.69","3.33 ± 0.28","5.35 ± 0.35","3.06 ± 0.21","2.81 ± 0.12","0.77 ± 0.14","1.96 ± 0.19"
"Lion","3.39 ± 0.17","3.24 ± 0.02","4.58 ± 0.15","2.95 ± 0.17","4.56 ± 0.17","4.22 ± 0.22","4.93 ± 0.35","3.75 ± 0.21","5.42 ± 0.07","3.13 ± 0.14","3.24 ± 0.52","1.60 ± 0.00","2.70 ± 0.33"
"Troll","3.95 ± 0.41","2.05 ± 0.15","4.75 ± 0.37","3.17 ± 0.17","3.67 ± 0.50","3.73 ± 0.23","3.82 ± 0.49","3.47 ± 0.14","4.79 ± 0.42","2.71 ± 0.07","2.46 ± 0.34","1.22 ± 0.28","2.11 ± 0.39"
"Bison_N","4.88 ± 0.31","2.52 ± 0.08","5.07 ± 0.47","3.38 ± 0.34","3.55 ± 0.34","4.33 ± 0.06","4.93 ± 0.28","4.79 ± 0.42","6.04 ± 0.42","4.03 ± 0.21","3.31 ± 0.13","1.33 ± 0.52","2.03 ± 0.47"
"Lion_N","4.29 ± 0.25","2.60 ± 0.59","4.17 ± 0.71","2.95 ± 0.11","4.55 ± 0.34","4.17 ± 0.39","5.07 ± 0.63","5.69 ± 0.07","6.53 ± 0.07","4.10 ± 0.14","3.02 ± 0.23","1.62 ± 0.20","2.89 ± 0.67"
"Troll_N","4.27 ± 0.11","2.33 ± 0.14","4.77 ± 0.08","2.83 ± 0.50","3.11 ± 0.28","4.39 ± 0.28","5.42 ± 0.28","4.86 ± 0.35","5.76 ± 0.21","4.10 ± 0.21","2.50 ± 0.13","1.80 ± 0.03","2.51 ± 0.04"
"Lunabor","2.86 ± 0.15","0.22 ± 0.08","0.62 ± 0.43","0.22 ± 0.00","2.50 ± 0.06","0.78 ± 0.00","3.13 ± 0.14","2.22 ± 1.32","3.54 ± 0.42","3.33 ± 0.07","2.44 ± 0.20","1.39 ± 0.08","0.33 ± 0.15"
"Probor","2.25 ± 0.15","0.10 ± 0.05","0.35 ± 0.14","0.39 ± 0.05","1.50 ± 0.22","0.83 ± 0.16","3.61 ± 0.00","1.81 ± 1.25","3.19 ± 0.21","3.33 ± 0.42","2.26 ± 0.10","0.88 ± 0.12","0.43 ± 0.15"
"Jowisz","2.47 ± 0.13","0.40 ± 0.05","0.67 ± 0.46","0.28 ± 0.06","1.73 ± 0.11","0.89 ± 0.22","3.26 ± 0.14","1.39 ± 0.14","3.68 ± 0.14","3.19 ± 0.07","2.06 ± 0.10","1.02 ± 0.07","0.38 ± 0.12"
"Bison × Lunabor","3.49 ± 0.08","0.79 ± 0.33","3.18 ± 0.33","1.56 ± 0.33","2.89 ± 0.17","2.33 ± 0.11","4.72 ± 0.07","3.47 ± 0.56","4.31 ± 0.28","4.17 ± 0.07","2.73 ± 0.07","1.47 ± 0.27","1.19 ± 0.21"
"Bison × Probor","3.16 ± 0.16","1.01 ± 0.27","2.87 ± 0.30","1.61 ± 0.12","2.45 ± 0.05","2.61 ± 0.11","3.82 ± 0.35","2.64 ± 0.07","4.03 ± 0.00","4.03 ± 0.07","2.72 ± 0.08","1.17 ± 0.08","0.70 ± 0.28"
"Bison × Jowisz","3.02 ± 0.16","0.63 ± 0.00","3.44 ± 0.06","1.55 ± 0.16","2.62 ± 0.17","2.38 ± 0.11","3.61 ± 0.14","2.50 ± 0.35","4.51 ± 0.14","3.47 ± 0.21","2.69 ± 0.09","0.88 ± 0.25","0.83 ± 0.21"
"Lion × Lunabor","3.24 ± 0.18","1.21 ± 0.14","3.20 ± 0.09","1.33 ± 0.00","2.95 ± 0.22","2.39 ± 0.11","4.03 ± 0.35","3.96 ± 0.07","4.79 ± 0.14","3.96 ± 0.07","3.11 ± 0.24","1.65 ± 0.06","1.17 ± 0.36"
"Lion × Probor","2.90 ± 0.05","0.90 ± 0.15","1.22 ± 0.00","1.50 ± 0.05","2.55 ± 0.17","2.39 ± 0.17","4.17 ± 0.14","3.19 ± 0.56","4.17 ± 0.00","4.10 ± 0.28","2.69 ± 0.12","1.47 ± 0.20","1.28 ± 0.28"
"Lion × Jowisz","3.08 ± 0.12","1.09 ± 0.17","3.19 ± 0.00","1.44 ± 0.00","2.94 ± 0.11","2.17 ± 0.11","4.24 ± 0.21","2.99 ± 0.28","4.65 ± 0.14","3.75 ± 0.07","2.73 ± 0.03","0.93 ± 0.03","1.11 ± 0.37"
"Troll × Lunabor","3.22 ± 0.12","0.68 ± 0.19","3.44 ± 0.45","1.17 ± 0.22","2.89 ± 0.00","2.23 ± 0.00","4.51 ± 0.07","4.17 ± 0.69","4.51 ± 0.21","3.96 ± 0.14","2.56 ± 0.06","1.73 ± 0.02","0.95 ± 0.36"
"Troll × Probor","3.09 ± 0.15","0.43 ± 0.21","1.00 ± 0.68","1.17 ± 0.06","2.06 ± 0.39","1.89 ± 0.12","4.31 ± 0.14","3.54 ± 0.56","4.17 ± 0.35","3.96 ± 0.14","2.50 ± 0.10","1.35 ± 0.18","0.67 ± 0.11"
"Troll × Jowisz","2.74 ± 0.13","0.55 ± 0.42","3.36 ± 0.41","1.22 ± 0.11","2.56 ± 0.17","2.11 ± 0.16","3.68 ± 0.35","3.26 ± 0.49","4.44 ± 0.07","3.47 ± 0.28","2.54 ± 0.09","1.03 ± 0.18","0.87 ± 0.07"
